"<b>Basic requirements for the instalment payment</b><br>Allowed B2C countries: DE, AT, CH<br>Allowed B2B countries: European Union<br>Allowed currency: EUR<br>Minimum order amount: 19.98 EUR or more<br>Please note that the instalment cycle amount has to be a minimum of 9.99 EUR and the instalment cycles which do not meet this criteria will not be displayed in the instalment plan<br>Age limit: 18 years or more<br>The billing address must be the same as the shipping address<br><br>","<b>Basic requirements for the instalment payment</b><br>Allowed B2C countries: DE, AT, CH<br>Allowed B2B countries: European Union<br>Allowed currency: EUR<br>Minimum order amount: 19.98 EUR or more<br>Please note that the instalment cycle amount has to be a minimum of 9.99 EUR and the instalment cycles which do not meet this criteria will not be displayed in the instalment plan<br>Age limit: 18 years or more<br>The billing address must be the same as the shipping address<br><br>"
"Choose the financing option that best fits your needs and you will be charged based on that chosen plan","Choose the financing option that best fits your needs and you will be charged based on that chosen plan"
"Net loan amount: ","Net loan amount: "
"The payment cannot be processed, because the basic requirements for the %1 haven't been met (The shipping address must be the same as the billing address)","The payment cannot be processed, because the basic requirements for the %1 haven't been met (The shipping address must be the same as the billing address)"
"The date should be in future","The date should be in future"
"The transaction has been updated with due date %1","The transaction has been updated with a new due date %1"
"The transaction has been updated with amount %1 and due date with %2","The transaction has been updated with amount %1 and due date with %2"
"The transaction has been updated with amount %1","The transaction has been updated with amount %1"
"The transaction has been updated with amount %1 and slip expiry date with %2","The transaction has been updated with amount %1 and slip expiry date with %2"
"The transaction has been updated with slip expiry date %1","The transaction has been updated with a new slip expiry date %1"
"Customer was redirected to Novalnet","Customer was redirected to Novalnet"
"Customer successfully returned from Novalnet","Customer successfully returned from Novalnet"
"While redirecting some data has been changed. The hash check failed.","While redirecting some data has been changed. The hash check failed."
"Payment Failed","Payment Failed"
"On successful checkout, you will receive a payment slip/SMS to pay your online purchase at one of our retail partners (e.g. supermarket)","On successful checkout, you will receive a payment slip/SMS to pay your online purchase at one of our retail partners (e.g. supermarket)"
"The transaction has been confirmed successfully for the TID: %1","The transaction has been confirmed successfully for the TID: %1"
"Please transfer the amount to the below mentioned account details of our payment processor Novalnet","Please transfer the amount to the below mentioned account details of our payment processor Novalnet"
"Your order is being verified. Once confirmed, we will send you our bank details to which the order amount should be transferred. Please note that this may take up to 24 hours","Your order is being verified. Once confirmed, we will send you our bank details to which the order amount should be transferred. Please note that this may take up to 24 hours"
"Your order is under verification and we will soon update you with the order status. Please note that this may take upto 24 hours.","Your order is under verification and we will soon update you with the order status. Please note that this may take upto 24 hours."
"Slip expiry date: %1", "Slip expiry date: %1"
"Store(s) near you:","Store(s) near to you:"
"Please enter the refund amount","Please enter the refund amount"
"(in minimum unit of currency. E.g. enter 100 which is equal to 1.00)","(in minimum unit of currency. E.g. enter 100 which is equal to 1.00)"
"Change the slip expiry date","Change the slip expiry date"
"Change the due date","Change the due date"
"Slip expiry date","Slip expiry date"
"Transaction due date","Transaction due date"
"Amount","Amount"
"Update","Update"
"Refund","Refund"
"Paid","Paid"
"Pending","Pending"
"Cancel","Cancel"
"Reference","Reference"
"Are you sure you want to change the slip expiry date?","Are you sure you want to change the slip expiry date?"
"Are you sure you want to change the order due date?","Are you sure you want to change the order due date?"
"Pay now with Barzahlen","Pay now with Barzahlen"
" Cycles / "," Cycles / "
"Every month","per month"
"Every 2 months","per 2 months"
"Every 3 months","per 3 months"
"Every 4 months","per 4 months"
"Every 6 months","per 6 months"
"Instalment confirmation %1 Order no: %2","Instalment confirmation %1 Order no: %2"
"The instalment amount for this cycle %1 %2 will be debited from your account in one - three business days.","The instalment amount for this cycle %1 %2 will be debited from your account in one - three business days."
"Your date of birth","Your date of birth"
"Date of Birth","Date of Birth"
"Instalment","Instalment"
"Instalment Information","Instalment Information"
"Processed Instalments","Processed Instalments"
"Due Instalments","Due Instalments"
"Next Instalment Date","Next Instalment Date"
"Instalment Cycle Amount","Instalment Cycle Amount"
"Total paid amount","Total paid amount"
"Total due amount","Total due amount"
"Paid Instalments","Paid Instalments"
"Instalment Summary","Instalment Summary"
"Paid Date","Paid date"
"Instalment cycles","Instalment cycles"
"Instalment Amount","Instalment Amount"
"%s Instalment","%s Instalment"
" per month"," per month"
" Every %1 months"," per %1 months"
"The next instalment cycle have arrived for the instalment order %orderNo placed at the %store_name, kindly refer further details below.","The next instalment cycle have arrived for the instalment order %orderNo placed at the %store_name, kindly refer further details below."
"Day","Day"
"Year","Year"
"Month","Month"
"January","January"
"Feburary","Feburary"
"March","March"
"April","April"
"May","May"
"June","June"
"July","July"
"August","August"
"September","September"
"October","October"
"November","November"
"December","December"
"Display inline credit card form","Display inline credit card form"
"Inline form: The following fields will be shown in the checkout in two lines: card holder & credit card number / expiry date / CVC","Inline form: The following fields will be shown in the checkout in two lines: card holder & credit card number / expiry date / CVC"
"InvoiceAmount","Amount"
"On successful checkout, you will receive a payment reference. Using this payment reference, you can either pay in the Multibanco ATM or through your online bank account","On successful checkout, you will receive a payment reference. Using this payment reference, you can either pay in the Multibanco ATM or through your online bank account"
"Payment References description","Please use any of the following payment references when transferring the amount. This is necessary to match it with your corresponding order"
"Configure","Configure"
"You will receive an e-mail with the Novalnet account details to complete the payment","You will receive an e-mail with the Novalnet account details to complete the payment"
"Send e-mail to","Send e-mail to"
"Notification / Webhook URL execution messages will be sent to this e-mail","Notification / Webhook URL execution messages will be sent to this e-mail"
"Unauthorised access from the IP [ %1 ]","Unauthorised access from the IP [ %1 ]"
"One-click shopping","One-click shopping"
"Webhook order status","Callback / Webhook order status"
"The Selected logos will be displayed on the checkout page","The Selected logos will be displayed on the checkout page"
"Force non-guarantee payment","Force non-guarantee payment"
"Even if payment guarantee is enabled, payments will still be processed as non-guarantee payments if the payment guarantee requirements are not met. Review the requirements under 'Enable Payment Guarantee' in the Installation Guide.","Even if payment guarantee is enabled, payments will still be processed as non-guarantee payments if the payment guarantee requirements are not met. Review the requirements under 'Enable Payment Guarantee' in the Installation Guide."
"Minimum order amount: 9.99 EUR or more","Minimum order amount: 9.99 EUR or more"
"You will be redirected to Sofort. Please don’t close or refresh the browser until the payment is completed","You will be redirected to Sofort. Please don’t close or refresh the browser until the payment is completed"
"You will be redirected to giropay. Please don’t close or refresh the browser until the payment is completed","You will be redirected to giropay. Please don’t close or refresh the browser until the payment is completed"
"You will be redirected to Przelewy24. Please don’t close or refresh the browser until the payment is completed","You will be redirected to Przelewy24. Please don’t close or refresh the browser until the payment is completed"
"You will be redirected to eps. Please don’t close or refresh the browser until the payment is completed","You will be redirected to eps. Please don’t close or refresh the browser until the payment is completed"
"You will be redirected to PayPal. Please don’t close or refresh the browser until the payment is completed","You will be redirected to PayPal. Please don’t close or refresh the browser until the payment is completed"
"You will be redirected to PostFinance. Please don’t close or refresh the browser until the payment is completed","You will be redirected to PostFinance. Please don’t close or refresh the browser until the payment is completed"
"You will be redirected to Bancontact. Please don’t close or refresh the browser until the payment is completed","You will be redirected to Bancontact. Please don’t close or refresh the browser until the payment is completed"
"You will be redirected to iDEAL. Please don’t close or refresh the browser until the payment is completed","You will be redirected to iDEAL. Please don’t close or refresh the browser until the payment is completed"
"Are you sure you want to capture the payment?","Are you sure you want to capture the payment?"
"Are you sure you want to cancel the payment?","Are you sure you want to cancel the payment?"
"Payment reference 1","Payment Reference 1"
"Payment reference 2","Payment Reference 2"
"Payment Reference","Payment Reference"
"Please read the Installation Guide before you start and login to the <a href='https://admin.novalnet.de/' target='_blank'> Novalnet Admin Portal </a> using your merchant account. To get a merchant account, mail to <a href='mailto:sales@novalnet.de'>sales@novalnet.de</a> or call +49 (089) 923068320","Please read the Installation Guide before you start and login to the <a href='https://admin.novalnet.de/' target='_blank'> Novalnet Admin Portal </a> using your merchant account. To get a merchant account, mail to <a href='mailto:sales@novalnet.de'>sales@novalnet.de</a> or call +49 (089) 923068320"
"Allow manual testing of the Notification / Webhook URL","Allow manual testing of the Notification / Webhook URL"
"ending in %1 (expires %2/%3)","ending in %1 (expires %2/%3)"
"IBAN","IBAN"
"Please enter a valid Product Activation Key and Payment Access key.","Please enter a valid Product Activation Key and Payment Access key."
"Make sure the Direct Debit SEPA payment is enabled to use this option.","Make sure the Direct Debit SEPA payment is enabled to use this option."
"Make sure the Invoice payment is enabled to use this option.","Make sure the Invoice payment is enabled to use this option."
"Configure the valid Product Activation Key and Payment Access key to activate the payment types under <b>Configuration</b> settings.","Configure the valid Product Activation Key and Payment Access key to activate the payment types under <b>Configuration</b> settings."
"Module version","Module version"
"Display Credit/Debit card logos","Display Credit/Debit card logos"
"The selected card logos will be displayed on the checkout page","The selected card logos will be displayed on the checkout page"
"Allow B2B Customers","Allow B2B Customers"
"Allow B2B customers to place order","Allow B2B customers to place order"
"<div class='novalnet-payment-logo'></div><div class='novalnet-payment-text'>Secured and trusted means of accepting all payment methods supported worldwide. <br>Novalnet provides the most convenient way to increase your sales and deliver seamless checkout experience for your customers.</div>","<div class='novalnet-payment-logo'></div><div class='novalnet-payment-text'>Secured and trusted means of accepting all payment methods supported worldwide. <br>Novalnet provides the most convenient way to increase your sales and deliver seamless checkout experience for your customers.</div>"
"Novalnet webhook added order status %1","Novalnet webhook added order status %1"
"Novalnet webhook set status (%1) for Order ID = %2","Novalnet webhook set status (%1) for Order ID = %2"
"Please transfer the amount of %1 to the following account on or before %2","Please transfer the amount of %1 to the following account on or before %2"
"Please transfer the amount of %1 to the following account","Please transfer the amount of %1 to the following account"
"Only EUR currency allowed %1","The payment cannot be processed, because the basic requirements for the %1 are not met (Only EUR currency allowed)"
"Minimum order amount should be %1","The payment cannot be processed, because the basic requirements for the %1 are not met (Minimum order amount must be 9.99 EUR)"
"Only DE, AT, CH countries allowed %1","The payment cannot be processed, because the basic requirements for the %1 are not met (Only Germany, Austria or Switzerland are allowed)"
"Please use the following payment reference details to pay the amount of %1 at a Multibanco ATM or through your internet banking.","Please use the following payment reference details to pay the amount of %1 at a Multibanco ATM or through your internet banking."
"Partner Payment Reference: %1","Partner Payment Reference: %1"
"DD.MM.YYYY","DD.MM.YYYY"
"Instalment cancel","Instalment cancel"
"TestMode","TestMode"
"Card type not accepted, try using another card type","Card type not accepted, try using another card type"
"In order to use this option you must have billing agreement option enabled in your PayPal account. Please contact your account manager at PayPal.","In order to use this option you must have billing agreement option enabled in your PayPal account. Please contact your account manager at PayPal."
"Payment details stored during the checkout process can be used for future payments","Payment details stored during the checkout process can be used for future payments"
"Failed","Failed"
"Completed","Completed"
"Please enter valid URL","Please enter valid URL"
"To setup your shop Notification / Webhook URL, you must add the following webhook endpoint in this format <b>{Shop_url/rest/V1/novalnet/callback}</b> in below <b>Notification / Webhook URL</b> field and click on <b>Configure</b> button to receive notification about transactions.","To setup your shop Notification / Webhook URL, you must add the following webhook endpoint in this format <b>{Shop_url/rest/V1/novalnet/callback}</b> in below <b>Notification / Webhook URL</b> field and click on <b>Configure</b> button to receive notification about transactions."
"Save for future purchase","Save for future purchase"
"More security with the new Payment Policy (PSD2) Info","More security with the new Payment Policy (PSD2) Info"
"European card issuing banks often requires a password or some other form of authentication (EU Payment Services Directive 'PSD2') for secure payment. If the payment is not successful, you can try again. If you have any further questions, please contact your bank.","European card issuing banks often requires a password or some other form of authentication (EU Payment Services Directive 'PSD2') for secure payment. If the payment is not successful, you can try again. If you have any further questions, please contact your bank."
"Enforce 3D secure payment outside EU","Enforce 3D secure payment outside EU"
"By enabling this option, all payments from cards issued outside the EU will be authenticated via 3DS 2.0 SCA.","By enabling this option, all payments from cards issued outside the EU will be authenticated via 3DS 2.0 SCA."
"Your customers can checkout using Apple Pay from any page in your web store","Your customers can checkout using Apple Pay from any page in your web store"
"This is the text that appears as PAY 'SELLER NAME' in the Apple Pay payment sheet.","This is the text that appears as PAY 'SELLER NAME' in the Apple Pay payment sheet."
"Button Design","Button Design"
"Seller Name","Seller Name"
"Button Type","Button Type"
"Buy","Buy"
"Donate","Donate"
"Book","Book"
"Contribute","Contribute"
"Check out","Check out"
"Order","Order"
"Subscribe","Subscribe"
"Tip","Tip"
"Rent","Rent"
"Reload","Reload"
"Support","Support"
"Button Theme","Button Theme"
"Button Height","Button Height"
"Range from 30 to 64 pixels","Range from 30 to 64 pixels"
"Button Corner Radius","Button Corner Radius"
"Range from 0 to 10 pixels","Range from 0 to 10 pixels"
"Display the Apple Pay Button on","Display the Apple Pay Button on"
"The selected Pages Will Display The Apple Pay Button, Just Below The Proceed To Checkout Button","The selected Pages Will Display The Apple Pay Button, Just Below The Proceed To Checkout Button"
"Shopping cart page","Shopping cart page"
"Mini cart page","Mini cart page"
"Product page","Product page"
"Guest checkout page","Guest checkout page"
"Express Checkout","Express Checkout"
"Amount will be booked from your card after successful authentication","Amount will be booked from your card after successful authentication"
"Dark","Dark"
"Light","Light"
"Light-Outline","Light-Outline"
