"Documentation","Dokumentation"
"Once you've submitted the order, you will receive an e-mail with account details to make payment","Sobald Sie die Bestellung absenden, erhalten Sie eine E-Mail mit den Kontodaten, um die Zahlung abzuschließen."
"The payment will be processed in the test mode therefore amount for this transaction will not be charged","Die Zahlung wird im Testmodus durchgeführt, daher wird der Betrag für diese Transaktion nicht eingezogen."
"Your credit card details are invalid","Ihre Kreditkartendaten sind ungültig."
"Card holder name","Name des Karteninhabers"
"Name on card","Name auf der Kreditkarte"
"Card number","Kreditkartennummer"
"XXXX XXXX XXXX XXXX","XXXX XXXX XXXX XXXX"
"Expiry date","Ablaufdatum"
"MM / YY","MM / YY"
"CVC/CVV/CID","CVC/CVV/CID"
"XXX","XXX"
"what is this?","Was ist das?"
"The amount will be debited from your account by Novalnet","Der Betrag wird durch Novalnet von Ihrem Konto abgebucht"
"Account holder","Kontoinhaber"
"IBAN","IBAN"
"I hereby grant the mandate for the SEPA direct debit","Ich erteile hiermit das SEPA-Lastschriftmandat"
"(electronic transmission)","(elektronische Übermittlung)"
"and confirm that the given bank details are correct!","und bestätige, dass die Bankverbindung korrekt ist"
"I authorise (A) Novalnet AG to send instructions to my bank to debit my account and (B) my bank to debit my account in accordance with the instructions from Novalnet AG.","Ich ermächtige den Zahlungsempfänger, Zahlungen von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von dem Zahlungsempfänger auf mein Konto gezogenen Lastschriften einzulösen."
"Creditor identifier: DE53ZZZ00000004253","Gläubiger-Identifikationsnummer: DE53ZZZ00000004253"
"Note:","Hinweis:"
"You are entitled to a refund from your bank under the terms and conditions of your agreement with bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen."
"After the successful verification, you will be redirected to Novalnet secure order page to proceed with the payment","Sie werden auf die sichere Zahlungsseite von Novalnet weitergeleitet, um die Zahlung abzuschließen."
"Are you sure you want to remove these account details?","Sind Sie sicher, dass Sie diese Kontodaten entfernen möchten?"
"Are you sure you want to remove these Credit Card details?","Sind Sie sicher, dass Sie diese Kreditkartendaten entfernen möchten?"
"Add new card details","Neue Kreditkarte hinzufügen"
"Add new account details","Neue Kontodaten hinzufügen"
"Save my card details for future purchases","Ich möchte meine Kartendaten für spätere Einkäufe speichern"
"Save my account details for future purchases","Ich möchte meine Kontodaten für spätere Einkäufe speichern"
"Save my PayPal details for future purchases","Ich möchte meine PayPal-Kontodaten für spätere Einkäufe speichern"
"Test order","Testbestellung"
"Novalnet Transaction ID: ","Novalnet-Transaktions-ID: "
"Payment Failed","Zahlung fehlgeschlagen"
"The transaction has been confirmed on %1","Die Transaktion wurde am %1 Uhr bestätigt"
"The transaction has been canceled on %1","Die Transaktion wurde am %1 Uhr storniert"
"Refund has been initiated for the TID:%1 with the amount %2","Die Rückerstattung für die TID %1 mit dem Betrag %2 wurde veranlasst"
"Refund has been initiated for the TID: %1 with the amount %2. New TID:%3","Die Rückerstattung für die TID %1 mit dem Betrag %2 wurde veranlasst. Die neue TID : %3"
"Customer was redirected to Novalnet","Besteller zu Novalnet umgeleitet"
"Customer successfully returned from Novalnet","Der Kunde wurde erfolgreich von Novalnet zurückgeleitet."
"The transaction has been confirmed","Die Buchung wurde bestätigt"
"The transaction has been canceled","Die Transaktion wurde storniert"
"While redirecting some data has been changed. The hash check failed.","Während der Umleitung wurden einige Daten geändert. Die Überprüfung des Hashes schlug fehl."
"The transaction has been confirmed on %1","Die Buchung wurde am %1 Uhr bestätigt"
"The transaction has been canceled on %1","Die Transaktion wurde am %1 Uhr storniert"
"Refund/Bookback executed successfully for the TID: %1 amount: %2 on %3. The subsequent TID: %4","Rückerstattung / Bookback erfolgreich ausgeführt für die TID: %1: Betrag: %2 am %3. TID der Folgebuchung: %4"
"The transaction status has been changed from pending to on hold for the TID: %1 on %2.","Der Status der Transaktion mit der TID: %1 wurde am %2 Uhr  von ausstehend auf ausgesetzt geändert."
"Credit has been successfully received for the TID: %1 with amount %2 on %3. Please refer PAID order details in our Novalnet Admin Portal for the TID: %4","Die Gutschrift für die TID ist erfolgreich eingegangen: %1 mit Betrag %2 am %3. Bitte entnehmen Sie die TID den Einzelheiten der Bestellung bei BEZAHLT in unserem Novalnet Adminportal: %4"
"Chargeback executed successfully for the TID: %1 amount: %2 on %3. The subsequent TID: %4","Chargeback erfolgreich importiert für die TID: %1 Betrag: %2 am %3 Uhr. TID der Folgebuchung: %4"
"Transaction updated successfully for the TID: %1 with the amount %2 on %3","Transaktion mit TID %1 und Betrag %2 wurde am um erfolgreich aktualisiert %3"
"The Transaction ID already existed","The Transaction ID already existed"
"Enter the number of days to transfer the payment amount to Novalnet (must be greater than 7 days). In case if the field is empty, 14 days will be set as due date by default","Anzahl der Tage, die der Käufer Zeit hat, um den Betrag an Novalnet zu überweisen (muss mehr als 7 Tage betragen). Wenn Sie dieses Feld leer lassen, werden standardmäßig 14 Tage als Fälligkeitsdatum festgelegt"
"Slip expiry date (in days)","Verfallsdatum des Zahlscheins (in Tagen)"
"Enter the number of days to pay the amount at store near you. If the field is empty, 14 days will be set as default.","Anzahl der Tage, die der Käufer Zeit hat, um den Betrag in einer Filiale zu bezahlen. Wenn Sie dieses Feld leer lassen, ist der Zahlschein standardmäßig 14 Tage lang gültig"
"Recurring Period for the instalment cycles","Wählen Sie die zeitliche Abfolge der einzelnen Raten"
"On choosing an appropriate recurring period, each instalment cycle will be processed based on that","Wählen Sie einen passenden Zeitraum zwischen den zu zahlenden Raten aus"
"Select the various instalment cycles that can be availed in the instalment plan","Wählen Sie die Anzahl der Raten aus."
"Choose your instalment plan","Wählen Sie Ihren Ratenplan"
"<b>Basic requirements for payment guarantee</b><br>Allowed B2C countries: DE, AT, CH<br>Allowed B2B countries: European Union<br>Allowed currency: EUR<br>Minimum order amount: 9.99 EUR or more<br>Age limit: 18 years or more<br>The billing address must be the same as the shipping address<br><br>","<b>Grundanforderungen für die Zahlungsgarantie</b><br>Erlaubte B2C-Länder: DE, AT, CH<br>Erlaubte B2B-Länder: Europäische Union<br>Zugelassene Währung: EUR<br>Mindestbetrag der Bestellung: 9.99 EUR<br>Mindestalter: 18 Jahre<br>Rechnungsadresse und Lieferadresse müssen übereinstimmen<br><br>"
"<b>Basic requirements for the instalment payment</b><br>Allowed B2C countries: DE, AT, CH<br>Allowed B2B countries: European Union<br>Allowed currency: EUR<br>Minimum order amount: 19.98 EUR or more<br>Please note that the instalment cycle amount has to be a minimum of 9.99 EUR and the instalment cycles which do not meet this criteria will not be displayed in the instalment plan<br>Age limit: 18 years or more<br>The billing address must be the same as the shipping address<br><br>","<b>Voraussetzungen für die Ratenzahlung</b><br>Erlaubte B2C-Länder: DE, AT, CH<br>Erlaubte B2B-Länder: Europäische Union<br>Zugelassene Währung: EUR<br>Mindestbetrag der Bestellung: 19.98 EUR<br>Bitte beachten Sie, dass der Betrag einer Rate mindestens 9.99 EUR betragen muss und Raten, die diese Kriterien nicht erfüllen, nicht im Ratenplan angezeigt werden<br>Mindestalter: 18 Jahre<br>Rechnungsadresse und Lieferadresse müssen übereinstimmen<br><br>"
"Choose the financing option that best fits your needs and you will be charged based on that chosen plan","Wählen Sie die Finanzierungsoption, die Ihren Bedürfnissen am besten entspricht. Die Raten werden Ihnen entsprechend dem gewählten Ratenplan berechnet"
"Net loan amount: ","Netto-Kreditbetrag: "
"The payment cannot be processed, because the basic requirements for the %1 haven't been met (The shipping address must be the same as the billing address)","Die Zahlung kann nicht ausgeführt werden, weil die Voraussetzungen für die Zahlungsgarantie nicht erfüllt sind (Die Lieferadresse muss mit der Rechnungsadresse identisch sein)"
"The date should be in future","Das Datum sollte in der Zukunft liegen."
"The transaction has been updated with due date %1","Die Transaktion wurde aktualisiert. Neues Fälligkeitsdatum: %1"
"The transaction has been updated with amount %1 and slip expiry date with %2","Die Transaktion wurde aktualisiert. Neuer Betrag: %1, neues Fälligkeitsdatum des Zahlscheins: %2"
"The transaction has been updated with amount %1","Die Transaktion wurde mit dem Betrag %1"
"The transaction has been updated with amount %1 and due date with %2","Die Transaktion wurde mit dem Betrag %1 und dem Fälligkeitsdatum %2 aktualisiert."
"The transaction has been updated with slip expiry date %1","Die Transaktion wurde aktualisiert. Neues Fälligkeitsdatum des Zahlscheins: %1"
"Customer was redirected to Novalnet","Besteller zu Novalnet umgeleitet"
"Customer successfully returned from Novalnet","Der Kunde wurde erfolgreich von Novalnet zurückgeleitet."
"While redirecting some data has been changed. The hash check failed.","Während der Umleitung wurden einige Daten geändert. Die Überprüfung des Hashes schlug fehl."
"Payment Failed","Zahlung fehlgeschlagen"
"On successful checkout, you will receive a payment slip/SMS to pay your online purchase at one of our retail partners (e.g. supermarket)","Nach erfolgreichem Bestellabschluss erhalten Sie einen Zahlschein bzw. eine SMS. Damit können Sie Ihre Online-Bestellung bei einem unserer Partner im Einzelhandel (z.B. Drogerie, Supermarkt etc.) bezahlen"
"The transaction has been confirmed successfully for the TID: %1","Die Transaktion mit der TID: %1 wurde erfolgreich bestätigt"
"Please transfer the amount to the below mentioned account details of our payment processor Novalnet","Überweisen Sie bitte den Betrag an die unten aufgeführte Bankverbindung unseres Zahlungsdienstleisters Novalnet"
"Your order is being verified. Once confirmed, we will send you our bank details to which the order amount should be transferred. Please note that this may take up to 24 hours","Ihre Bestellung wird überprüft. Nach der Bestätigung senden wir Ihnen unsere Bankverbindung, an die Sie bitte den Gesamtbetrag der Bestellung überweisen. Bitte beachten Sie, dass dies bis zu 24 Stunden dauern kann"
"Your order is under verification and we will soon update you with the order status. Please note that this may take upto 24 hours.","Ihre Bestellung wird derzeit überprüft. Wir werden Sie in Kürze über den Bestellstatus informieren. Bitte beachten Sie, dass dies bis zu 24 Stunden dauern kann."
"Slip expiry date: %1", "Verfallsdatum des Zahlscheins: %1"
"Store(s) near you:","Barzahlen-Partnerfilialen in Ihrer Nähe:"
"Please enter the refund amount","Geben Sie bitte den erstatteten Betrag ein"
"(in minimum unit of currency. E.g. enter 100 which is equal to 1.00)","(in der kleinsten Währungseinheit, z.B. 100 Cent = entsprechen 1.00 EUR)"
"Change the slip expiry date","Ablaufdatum des Zahlscheins ändern"
"Change the due date","Fälligkeitsdatum ändern"
"Slip expiry date","Verfallsdatum des Zahlscheins"
"Transaction due date","Fälligkeitsdatum der Transaktion"
"Amount","Betrag"
"Update","Aktualisieren"
"Refund","Rückerstattung"
"Paid","Bezahlt"
"Pending","Ausstehend"
"Cancel","Stornieren"
"Reference","Verwendungszweck"
"Are you sure you want to change the slip expiry date?","Sind Sie sicher, dass Sie das Ablaufdatum des Zahlscheins ändern wollen?"
"Are you sure you want to change the order due date?","Sind Sie sich sicher, dass Sie den das Fälligkeitsdatum der Bestellung ändern wollen?"
"Pay now with Barzahlen","Jetzt mit Barzahlen bezahlen"
" Cycles / "," Raten / "
"Every month","pro Monat"
"Every 2 months","pro 2 Monate"
"Every 3 months","pro 3 Monate"
"Every 4 months","pro 4 Monate"
"Every 6 months","pro 6 Monate"
"Instalment confirmation %1 Order no: %2","Für Ihren Einkauf bei %1, Bestellnr. %2, ist die nächste Rate fällig."
"The instalment amount for this cycle %1 %2 will be debited from your account in one - three business days.","Die nächste Rate in Höhe von %1 %2 wird in ein bis drei Werktagen von Ihrem Konto abgebucht."
"Your date of birth","Geben Sie bitte Ihr Geburtsdatum ein"
"Date of Birth","Geburtsdatum"
"Instalment","Ratenzahlung"
"Instalment Information"," Information zu den Raten"
"Processed Instalments","Bezahlte Raten"
"Due Instalments","Offene Raten"
"Next Instalment Date","Nächste Rate fällig am"
"Instalment Cycle Amount","Betrag jeder Rate"
"Total paid amount","Bezahlt gesamt"
"Total due amount","Offen gesamt"
"Paid Instalments","Bezahlte Raten"
"Instalment Summary","Zusammenfassung"
"Paid Date","Bezahlt am"
"Instalment cycles","Anzahl der Raten"
"Instalment amount","Ratenbetrag"
"%s Instalment","%s Ratenzahlung"
" per month"," pro Monat"
" Every %1 months"," pro %1 Monate"
"The next instalment cycle have arrived for the instalment order %orderNo placed at the %store_name, kindly refer further details below.","Für Ihre Bestellung Nr. %orderNo bei %store_name ist die nächste Rate fällig. Bitte beachten Sie weitere Details unten."
"Day","Tag"
"Year","Jahr"
"Month","Monat"
"January","Januar"
"Feburary","Februar"
"March","März"
"April","April"
"May","Mai"
"June","Juni"
"July","Juli"
"August","August"
"September","September"
"October","Oktober"
"November","November"
"December","Dezember"
"Display inline credit card form","Inline-Kreditkartenformular anzeigen"
"Inline form: The following fields will be shown in the checkout in two lines: card holder & credit card number / expiry date / CVC","Inline-Zahlungsformular: Die folgenden Felder werden im Checkout in zwei Zeilen angezeigt: Karteninhaber & Kreditkartennummer / Ablaufdatum / CVC-Code"
"InvoiceAmount","Betrag"
"On successful checkout, you will receive a payment reference. Using this payment reference, you can either pay in the Multibanco ATM or through your online bank account","Nach erfolgreichem Bestellabschluss erhalten Sie eine Zahlungsreferenz. Damit können Sie entweder an einem Multibanco-Geldautomaten oder im Onlinebanking bezahlen."
"Payment References description","Bitte verwenden Sie einen der unten angegebenen Verwendungszwecke für die Überweisung. Nur so kann Ihr Geldeingang Ihrer Bestellung zugeordnet werden"
"Configure","konfigurieren"
"You will receive an e-mail with the Novalnet account details to complete the payment","Sie erhalten eine E-Mail mit den Bankdaten von Novalnet, um die Zahlung abzuschließen"
"Send e-mail to","E-Mails senden an"
"Notification / Webhook URL execution messages will be sent to this e-mail","E-Mail-Benachrichtigungen werden an diese E-Mail-Adresse gesendet"
"Unauthorised access from the IP [ %1 ]","Unbefugter Zugriff von der IP [%1]"
"One-click shopping","Kauf mit einem Klick"
"Webhook order status","Callback / Webhook Bestellstatus"
"The Selected logos will be displayed on the checkout page","Die gewählten Kartenlogos werden auf der Checkout-Seite nicht mehr angezeigt"
"Force non-guarantee payment","Zahlung ohne Zahlungsgarantie erzwingen"
"Even if payment guarantee is enabled, payments will still be processed as non-guarantee payments if the payment guarantee requirements are not met. Review the requirements under 'Enable Payment Guarantee' in the Installation Guide.","Falls die Zahlungsgarantie zwar aktiviert ist, jedoch die Voraussetzungen für Zahlungsgarantie nicht erfüllt sind, wird die Zahlung ohne Zahlungsgarantie verarbeitet. Die Voraussetzungen finden Sie in der Installationsanleitung unter 'Zahlungsgarantie aktivieren'"
"Minimum order amount: 9.99 EUR or more","Mindestbetrag der Bestellung: 9.99 EUR"
"You will be redirected to Sofort. Please don’t close or refresh the browser until the payment is completed","Sie werden zu Sofortüberweisung weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist"
"You will be redirected to giropay. Please don’t close or refresh the browser until the payment is completed","Sie werden zu giropay weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist"
"You will be redirected to Przelewy24. Please don’t close or refresh the browser until the payment is completed","Sie werden zu Przelewy24 weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist"
"You will be redirected to eps. Please don’t close or refresh the browser until the payment is completed","Sie werden zu eps weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist"
"You will be redirected to PayPal. Please don’t close or refresh the browser until the payment is completed","Sie werden zu PayPal weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist"
"You will be redirected to PostFinance. Please don’t close or refresh the browser until the payment is completed","Sie werden zu PostFinance weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist"
"You will be redirected to Bancontact. Please don’t close or refresh the browser until the payment is completed","Sie werden zu Bancontact weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist"
"You will be redirected to iDEAL. Please don’t close or refresh the browser until the payment is completed","Sie werden zu iDEAL weitergeleitet. Um eine erfolgreiche Zahlung zu gewährleisten, darf die Seite nicht geschlossen oder neu geladen werden, bis die Bezahlung abgeschlossen ist"
"Are you sure you want to capture the payment?","Sind Sie sicher, dass Sie die Zahlung einziehen möchten?"
"Are you sure you want to cancel the payment?","Sind Sie sicher, dass Sie die Zahlung stornieren wollen?"
"Payment reference 1","Verwendungszweck 1"
"Payment reference 2","Verwendungszweck 2"
"Payment Reference","Zahlungsreferenz"
"Please read the Installation Guide before you start and login to the <a href='https://admin.novalnet.de/' target='_blank'> Novalnet Admin Portal </a> using your merchant account. To get a merchant account, mail to <a href='mailto:sales@novalnet.de'>sales@novalnet.de</a> or call +49 (089) 923068320","Bevor Sie beginnen, lesen Sie bitte die Installationsanleitung und melden Sie sich mit Ihrem Händlerkonto im <a href='https://admin.novalnet.de/' target='_blank'> Novalnet Admin-Portal </a> an. Um ein Händlerkonto zu erhalten, senden Sie bitte eine E-Mail an <a href='mailto:sales@novalnet.de'>sales@novalnet.de</a> oder rufen Sie uns unter +49 (089) 923068320 an"
"Allow manual testing of the Notification / Webhook URL","Manuelles Testen der Benachrichtigungs- / Webhook-URL erlauben"
"Enable this to test the Novalnet Notification / Webhook URL manually. Disable this before setting your shop live to block unauthorized calls from external parties","Aktivieren Sie diese Option, um die Novalnet-Benachrichtigungs-/Webhook-URL manuell zu testen. Deaktivieren Sie die Option, bevor Sie Ihren Shop liveschalten, um unautorisierte Zugriffe von Dritten zu blockieren"
"ending in %1 (expires %2/%3)","mit Endziffern %1 (gültig bis %2/%3)"
"IBAN","IBAN"
"Please enter a valid Product Activation Key and Payment Access key.","Bitte geben Sie den gültigen Produktaktivierungsschlüssel und Paymentzugriffsschlüssel ein."
"Make sure the Direct Debit SEPA payment is enabled to use this option.","Stellen Sie sicher, dass Sie die Zahlungsart SEPA-Lastschrift aktiviert haben, um diese Option nutzen zu können."
"Make sure the Invoice payment is enabled to use this option.","Stellen Sie sicher, dass Sie die Zahlungsart Rechnung aktiviert haben, um diese Option nutzen zu können."
"Configure the valid Product Activation Key and Payment Access key to activate the payment types under <b>Configuration</b> settings.","Geben Sie im Menu <b>Konfiguration</b> den gültigen Produktaktivierungsschlüssel und Paymentzugriffsschlüssel an, um die Zahlungsarten zu aktivieren."
"Module version","Modul-Version"
"Display Credit/Debit card logos","Kredit-/Debitkartenlogos ausblenden"
"The selected card logos will be displayed on the checkout page","Die gewählten Kartenlogos werden auf der Checkout-Seite nicht mehr angezeigt"
"Allow B2B Customers","B2B-Kunden erlauben"
"Allow B2B customers to place order","B2B-Kunden erlauben, Bestellungen aufzugeben"
